Project,CycleName,Version,CreationDate,Issue Key,Test Summary,Step Number,Step,Test Data,Expected Result,Step Result,Executed By,Executed On,ExecutionStatus
Andriesei Diana Project Manual Testing,GUI Testing,Release version 1.0,7/25/2023 12:43,PMT-10,"Verify if clicking the ""Termeni si conditii""ù link opens a new page with the terms and conditions, then the user can return to the main page.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 22:43,PASS
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Click on the link called ""Termeni si conditiile de utilizare ale site-ului""ù.",,A new page appears containing the terms and conditions.,PASS,,,
,,,,,,4,"From the top left of the page, click on the back arrow.",,"You are back at the ""Programeaza-te"" form.",PASS,,,
,,Release version 1.0,7/25/2023 12:43,PMT-11,Verify that the user is unable to make an appointment when leaving all the fields empty.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 22:45,PASS
,,,,,,2,"Navigate to the ""Programeaza-te"" section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,All fields must be left blank.,,All fields are empty.,PASS,,,
,,,,,,4,"Click on the ""Trimite""ù button.",,The message has not been sent. An error message is displayed for fields that are required.,PASS,,,
,,Release version 1.0,7/25/2023 13:59,PMT-17,Verify that the user cannot get in touch using an incorrect first name format.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 23:02,FAIL
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,Provide a name that is correct.,EG: Nume: Popescu,The field is written appropriately,PASS,,,
,,,,,,4,Provide a first name that is incorrect.,EG:  Prenume: %&9,The field has been entered/provided.,PASS,,,
,,,,,,5,"Provide a valid email, phone, message",EG: Email: popescu.ion@example.com Telefon: 0743323390 Message: Doctorul Mircea Ion va fi la cabinet maine?,The fields are written appropriately,PASS,,,
,,,,,,6,"Mark the ""Termeni si conditii"" checkbox as checked",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,7,"Click the ""Trimite"" button",,"The message has not been sent. A specific error message is displayed: ""Prenumele introdus nu este valid!""",FAIL,,,
,,Release version 1.0,7/25/2023 14:27,PMT-21,"Verify that the user cannot send a message without checking the ""Termeni si conditii""ù button.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 23:08,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,"Fill in all fields with correct data such as name,first name, email address, phone number and mesage.",EG: Nume: Popescu  Prenume: Ion Email: popescu.ion@example.com Telefon: 0743323390 Mesaj: Doctorul Mircea Ion va fi la cabinet maine?,The fields are written appropriately.,PASS,,,
,,,,,,4,"Check that the ""Termeni si conditii""ù box is not checked.",,"The ""Termeni si conditii"" button is unchecked.",PASS,,,
,,,,,,5,"Click the ""Trimite""ù button.",,"The message has not been sent. A specific error message is displayed: ""Va rugam sa confirmati ca ati citit termenii si conditiile de utilizare ale site-ului si sunteti de acord""",PASS,,,
,,Release version 1.0,7/25/2023 13:37,PMT-15,Verify that the user can get in touch using valid data.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 23:16,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page appears successfully.",PASS,,,
,,,,,,3,"Fill in the ""Nume"" input field mandatory.",EG: between 5 - 50 alphabetic characters,The text is successfully displayed in the input field,PASS,,,
,,,,,,4,"Fill in the ""Prenume"" input field mandatory.",EG: between 2 - 50 alphabetical characters,The text is successfully displayed in the input field,PASS,,,
,,,,,,5,"Fill in the ""Adresa de email"" input field mandatory.",EG: format example@example.com or user.name@example.com,The email is successfully displayed in the input field,PASS,,,
,,,,,,6,"Fill in the ""Telefon"" input field mandatory.",EG: only 10 numeric characters,The phone number is successfully displayed in the input field,PASS,,,
,,,,,,7,"Fill in the ""Mesaj"" input field mandatory.",EG: between 5 - 300 characters,The text is successfully displayed in the input field,PASS,,,
,,,,,,8,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,9,"Click the ""Trimite""ù button.",,"Message sent successfully. A specific message displayed: ""TEODENT  Va multumim pentru mesaj. Vom lua legatura cu dumneavoastra in cel mai scurt timp!""",PASS,,,
,,Release version 1.0,7/25/2023 12:41,PMT-6,Verify that the user cannot make an appointment using an incorrect email format.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 23:21,PASS
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Provide a valid name, phone, message.",EG:  Name: Sandu Ion Phone: 0745323390 Program information: Programare la medicul ortodont Mircea Ion,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide an email that is incorrect.,EG: Email: user@name@example.com,The field has been entered/provided.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite""ù button.",,"The schedule has not been sent. A specific message is displayed: ""Campul email trebuie sa contina o adresa de email valida.""",PASS,,,
,,Release version 1.0,7/25/2023 14:10,PMT-19,Verify that the user cannot get in touch using an incorrect phone number format.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/7/2023 23:40,FAIL
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,"Provide a name, first name, email address that is correct.",EG: Nume: Popescu Prenume: Ion Email: popescu.ion@example.com,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide an incorrect phone number.,EG: Telefon: *2=h#!56-9,The field has been entered/provided.,PASS,,,
,,,,,,5,Provide a valid message.,EG: Mesaj: Doctorul Mircea Ion va fi la cabinet maine?,The field is written appropriately.,PASS,,,
,,,,,,6,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,7,"Click the ""Trimite""ù button.",,"The message has not been sent. A specific message is displayed: ""Numarul de telefon introdus este invalid!""",FAIL,,,
,,Release version 1.0,7/25/2023 12:42,PMT-8,Verify that the user cannot make an appointment using an empty message.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 10:57,PASS
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Provide a valid name, email and phone.",EG: Name: Sandu Ion Email: user.name@example.com Phone: 0745323390,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide an empty message.,,The field is empty.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite""ù button.",,"The schedule has not been sent. A specific message is displayed: ""Campul detalii programare este obligatoriu.""",PASS,,,
,,Release version 1.0,7/25/2023 13:52,PMT-16,Verify that the user cannot get in touch using an incorrect name format.,1,Access Teodent,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:17,FAIL
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,Provide a name that is incorrect.,EG: Nume: P7%@/cu,The field has been entered/provided.,PASS,,,
,,,,,,4,"Provide a valid first name, email, phone, message",EG: Prenume: Ion Email: popescu.ion@example.com Telefon: 0743323390 Mesaj: Doctorul Mircea Ion va fi la cabinet maine?,The fields are written appropriately.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite""ù button.",,"The message has not been sent. A specific error message is displayed: ""Numele introdus este invalid!""",FAIL,,,
,,Release version 1.0,7/25/2023 14:37,PMT-23,Verify that the user is unable to get in touch when leaving all the fields empty.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:18,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page appears successfully.",PASS,,,
,,,,,,3,All fields must be left blank.,,All fields are empty.,PASS,,,
,,,,,,4,"Click on the ""Trimite""ù button.",,The message has not been sent. An error message is displayed for each field that is required.,PASS,,,
,,Release version 1.0,7/25/2023 12:40,PMT-4,Verify that the user can make an appointment using the valid data.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:24,PASS
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Fill in the ""numele dumneavoastra"" input field mandatory",EG:   numele dumneavoastra:  between 15 - 50 alphabetic characters.,The fields are written appropriately.,PASS,,,
,,,,,,4,"Fill in the ""adresa email valida"" input field mandatory",EG:  example@example.com or user.name@example.com,The fields are written appropriately.,PASS,,,
,,,,,,5,"Fill in the ""telefon"" input field mandatory",EG: only 10 numeric characters,The fields are written appropriately.,PASS,,,
,,,,,,6,"Fill in the ""detalii programare: specializare/medic"" input field mandatory",EG: between 10 -  300 characters,The fields are written appropriately.,PASS,,,
,,,,,,7,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,8,"Click the ""Trimite""ù button.",,"It was sent successfully. A specific message appears: ""TEODENT  Va multumim pentru mesaj. Vom lua legatura cu dumneavoastra in cel mai scurt timp!""",PASS,,,
,,Release version 1.0,7/25/2023 14:32,PMT-22,"Verify if clicking the ""Termeni si conditii""ù link opens a new page with the terms and conditions, then the user can return to the ""Contact"" page.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:28,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,"Click on the link called ""Termenii si conditiile de utilizare ale site-ului""ù.",,A new page appears containing the terms and conditions.,PASS,,,
,,,,,,4,"From the top left of the page, click on the back arrow.",,"You are back at the ""Contact"" form.",PASS,,,
,,Release version 1.0,7/25/2023 12:42,PMT-9,"Verify that the user cannot complete an appointment without checking the ""Termeni si conditii""ù button.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:32,PASS
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Provide a valid name, email, phone and message.",EG:   Name: Sandu Ion Email: user.name@example.com Phone: 0745323390 Program information: Programare la medicul ortodont Mircea Ion,The fields are written appropriately.,PASS,,,
,,,,,,4,"Verify that the ""Termeni si conditii"" box is not checked.",,"The ""Termeni si conditii"" button is unchecked.",PASS,,,
,,,,,,5,"Click the ""Trimite""ù button.",,"The schedule has not been sent. A specific mesage is displayed: ""VƒÉ rugƒÉm sƒÉ confirma»õi cƒÉ a»õi citit termenii »ôi condi»õiile de utilizare ale site-ului »ôi sunte»õi de acord""",PASS,,,
,,Release version 1.0,7/25/2023 14:04,PMT-18,Verify that the user cannot get in touch using an incorrect email format.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:35,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,"Provide a name, first name that is correct.",EG: Nume: Popescu Prenume: Ion,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide a email address that is incorrect.,EG: Email: p@$escu.&on@example.com,The field has been entered/provided.,PASS,,,
,,,,,,5,Provide a valid phone and message.,EG: Telefon: 0743323390 Mesaj: Doctorul Mircea Ion va fi la cabinet maine?,The fields are written appropriately.,PASS,,,
,,,,,,6,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,7,"Click the ""Trimite""ù button.",,"The message has not been sent. A specific error message is displayed: ""Campul Email trebuie sa contina o adresa de email valida.""",PASS,,,
,,Release version 1.0,7/25/2023 12:41,PMT-7,Verify that the user cannot make an appointment using an incorrect phone number format.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 11:54,FAIL
,,,,,,2,"Navigate to the ""Programeaza-te""ù section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Provide a valid name, email and message.",EG:  Name: Sandu Ion Email: user.name@example.com Program information: Programare la medicul ortodont Mircea Ion,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide a phone number that is incorrect.,EG:  Phone: 0659/5*6pt,The field has been entered/provided.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii""ù checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite""ù button.",,"The schedule has not been sent. A specific message is displayed: ""Numarul introdus nu este valid!""",FAIL,,,
,,Release version 1.0,7/25/2023 14:16,PMT-20,Verify that the user cannot send the form using an empty input message.,1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 15:05,PASS
,,,,,,2,"Navigate to the ""Contact""ù section.",,"The ""Contact"" page displayed successfully.",PASS,,,
,,,,,,3,"Provide a name, first name, email addres, phone number that is correct.",EG: Nume: Popescu  Prenume: Ion Email: popescu.ion@example.com Telefon: 0743323390,The fields are written appropriately.,PASS,,,
,,,,,,4,Provide an empty message.,,The field is empty.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii"" checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite"" button.",,"The message has not been sent. A specific message is displayed: ""Campul Mesaj este obligatoriu.""",PASS,,,
,,Release version 1.0,7/25/2023 12:41,PMT-5,Verify that the user cannot make an appointment using an incorrect name format.,1,Access Teodent,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/8/2023 15:27,FAIL
,,,,,,2,"Navigate to the ""Programeaza-te"" section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,Provide a username that is incorrect.,EG: S@ndu 3]{+,The field has been entered/provided.,PASS,,,
,,,,,,4,"Provide a valid message, email address and a phone number.",EG: Email: user.name@example.com Phone: 0745323390 Program information: Programare la medicul ortodont Mircea Ion,The fields are written appropriately.,PASS,,,
,,,,,,5,"Mark the ""Termeni si conditii"" checkbox as checked.",,"The ""Termeni si conditii"" button is checked.",PASS,,,
,,,,,,6,"Click the ""Trimite"" button.",,"The schedule has not been sent. A specific message is displayed: ""Numele introdus nu este valid!""",FAIL,,,
,,Release version 1.0,7/25/2023 12:40,PMT-3,"Verify that the ""Programeaza-te"" page contains the default elements and that fields have been marked as mandatory to ensure proper functionality and user experience.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/9/2023 17:37,FAIL
,,,,,,2,"Navigate to the ""Programeaza-te"" section.",,"The ""Programeaza-te"" page appears successfully.",PASS,,,
,,,,,,3,"Verify that the screen shows all the required fields: ""numele dumneavoastra"", ""adresa email valida"", ""telefon"", ""detalii programare: specializare/medic"", ""Termeni si conditii"".",,"The following information is displayed on the screen and marked with a visual asterisk to indicate that they are required: ""numele dumneavoastra"", ""adresa email valida"", ""telefon"", ""detalii programare: specializare/medic"", ""Termeni si conditii"".",FAIL,,,
,,,,,,4,"Verify the ""Trimite"" button is visible.",,"The ""Trimite"" button is visible.",UNEXECUTED,,,
,,Release version 1.0,7/25/2023 13:31,PMT-14,"Verify that the ""Contact"" page contains the default elements and that all fields have been marked as required.",1,Access Teodent.,https://teodent.ro/,The main page is displayed to the user.,PASS,IT Factory,8/9/2023 17:51,FAIL
,,,,,,2,"Navigate to the ""Contact"" section.",,"The ""Contact"" page appears successfully.",PASS,,,
,,,,,,3,"Verify that the screen shows all the required fields: ""Nume"", ""Prenume"", ""Adresa de email"", ""Telefon"", ""Mesaj"", ""Termeni si conditii"".",,"The following information is displayed on the screen and marked with a visual asterisk to indicate that they are required: ""Nume"", ""Prenume"", ""Adresa de email"", ""Telefon"", ""Mesaj"", Termeni si conditii"".",FAIL,,,
,,,,,,4,"Make sure the ""Trimite"" button is visible.",,"The ""Trimite"" button is visible.",UNEXECUTED,,,
,,,,,,,,,,,,,
